nohup: ignoring input
A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
2025-06-02 11:04:28,764 - INFO - ==================================================
2025-06-02 11:04:28,764 - INFO - Training started
2025-06-02 11:04:28,764 - INFO - ==================================================
2025-06-02 11:04:28,764 - INFO - Using device: cuda
2025-06-02 11:04:28,764 - INFO - Starting training with config: {'gamma': 0.99, 'gae_lambda': 0.95, 'clip_ratio': 0.2, 'value_coef': 0.5, 'entropy_coef': 0.01, 'max_grad_norm': 0.5, 'learning_rate': 0.00025, 'ppo_epochs': 4, 'batch_size': 64, 'env_name': 'ALE/Pong-v5', 'episodes': 1000, 'save_interval': 100, 'checkpoint_dir': 'models/ppo/pong/checkpoints', 'best_model_path': 'models/ppo/pong/best_model.pth'}
2025-06-02 11:04:28,764 - INFO - Initializing PPO Agent...
2025-06-02 11:04:29,388 - INFO - PPO Agent initialized successfully
2025-06-02 11:04:29,388 - INFO - Starting training for 1000 episodes
2025-06-02 11:04:29,388 - INFO - ==================================================
/home/lab/anaconda3/envs/pong/lib/python3.9/site-packages/gym/utils/passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
2025-06-02 11:04:41,574 - INFO - Episode 0 - Total Reward: -21.0, Steps: 884
2025-06-02 11:04:41,598 - INFO - Checkpoint saved to models/ppo/pong/checkpoints/model_episode_0.pth
2025-06-02 11:04:51,294 - INFO - Episode 1 - Total Reward: -21.0, Steps: 872
2025-06-02 11:05:02,793 - INFO - Episode 2 - Total Reward: -21.0, Steps: 944
2025-06-02 11:05:15,159 - INFO - Episode 3 - Total Reward: -21.0, Steps: 968
2025-06-02 11:05:26,169 - INFO - Episode 4 - Total Reward: -20.0, Steps: 867
2025-06-02 11:05:39,609 - INFO - Episode 5 - Total Reward: -20.0, Steps: 1035
2025-06-02 11:05:52,206 - INFO - Episode 6 - Total Reward: -20.0, Steps: 1053
2025-06-02 11:06:02,052 - INFO - Episode 7 - Total Reward: -21.0, Steps: 783
2025-06-02 11:06:13,089 - INFO - Episode 8 - Total Reward: -21.0, Steps: 885
2025-06-02 11:06:24,270 - INFO - Episode 9 - Total Reward: -21.0, Steps: 931
2025-06-02 11:06:33,269 - INFO - Episode 10 - Total Reward: -20.0, Steps: 859
2025-06-02 11:06:42,887 - INFO - Episode 11 - Total Reward: -20.0, Steps: 843
2025-06-02 11:06:52,054 - INFO - Episode 12 - Total Reward: -21.0, Steps: 812
2025-06-02 11:07:05,371 - INFO - Episode 13 - Total Reward: -21.0, Steps: 1093
2025-06-02 11:07:18,824 - INFO - Episode 14 - Total Reward: -19.0, Steps: 1282
2025-06-02 11:07:26,786 - INFO - Episode 15 - Total Reward: -21.0, Steps: 783
2025-06-02 11:07:36,886 - INFO - Episode 16 - Total Reward: -21.0, Steps: 821
2025-06-02 11:07:51,362 - INFO - Episode 17 - Total Reward: -19.0, Steps: 1132
2025-06-02 11:08:01,101 - INFO - Episode 18 - Total Reward: -21.0, Steps: 820
2025-06-02 11:08:11,105 - INFO - Episode 19 - Total Reward: -21.0, Steps: 783
2025-06-02 11:08:22,708 - INFO - Episode 20 - Total Reward: -21.0, Steps: 905
2025-06-02 11:08:35,800 - INFO - Episode 21 - Total Reward: -20.0, Steps: 1035
2025-06-02 11:08:46,461 - INFO - Episode 22 - Total Reward: -19.0, Steps: 999
2025-06-02 11:08:59,820 - INFO - Episode 23 - Total Reward: -19.0, Steps: 1077
2025-06-02 11:09:10,712 - INFO - Episode 24 - Total Reward: -20.0, Steps: 871
